policy_id,customer_id,product_id,year,premium,interest_rate,age,income,risk_score,retirement_horizon,product_type,risk_level,avg_return,fee_percent,liquidity
51,702,3,2023,26443.105001082004,5.0,47,101786.85299703597,7,20,indexed,medium,0.05,0.015,medium
52,511,1,2024,21464.756116533183,5.25,45,43173.37676382047,9,18,fixed,low,0.03,0.01,low
53,89,2,2016,25233.237827285884,0.5,31,73452.15457565308,1,15,variable,high,0.07,0.025,high
54,355,2,2019,11994.096576518947,2.5,69,28221.05434167781,2,39,variable,high,0.07,0.025,high
55,628,2,2018,16904.901140727707,2.0,59,64769.61622727862,7,26,variable,high,0.07,0.025,high
56,352,3,2023,21920.042369686766,5.0,39,74987.31884540082,7,15,indexed,medium,0.05,0.015,medium
57,689,2,2018,22775.158588818904,2.0,53,58472.73601358732,2,38,variable,high,0.07,0.025,high
58,14,3,2022,23201.87854921873,3.0,35,57454.83960195451,5,38,indexed,medium,0.05,0.015,medium
59,257,2,2022,18616.64717983622,3.0,46,89329.114523148,4,5,variable,high,0.07,0.025,high
60,209,1,2020,16225.765988696703,0.25,50,63142.17389006639,6,17,fixed,low,0.03,0.01,low
61,281,1,2020,51577.71283044298,0.25,37,85639.8450618861,2,30,fixed,low,0.03,0.01,low
62,443,3,2022,29067.872729323986,3.0,69,35536.06196557713,4,24,indexed,medium,0.05,0.015,medium
63,840,3,2024,24131.474759526223,5.25,31,64477.476205331855,9,16,indexed,medium,0.05,0.015,medium
64,837,1,2023,17667.91501793606,5.0,40,40900.22704226719,5,38,fixed,low,0.03,0.01,low
65,389,1,2019,15487.811730561234,2.5,73,51967.84578685741,1,30,fixed,low,0.03,0.01,low
66,617,2,2015,18691.994062730442,0.25,38,42230.735952823816,6,19,variable,high,0.07,0.025,high
67,483,1,2015,22928.288435866834,0.25,54,64046.536297682826,5,27,fixed,low,0.03,0.01,low
68,147,3,2016,2000.0,0.5,54,44613.799510161305,6,23,indexed,medium,0.05,0.015,medium
69,279,1,2024,4306.104046253164,5.25,46,46653.84665291236,3,20,fixed,low,0.03,0.01,low
70,521,3,2024,13631.176110610424,5.25,49,58101.86861458139,5,6,indexed,medium,0.05,0.015,medium
71,630,3,2019,22071.394367785684,2.5,44,87088.82145568552,6,8,indexed,medium,0.05,0.015,medium
72,606,2,2018,17607.268528481487,2.0,71,78488.20374549988,6,20,variable,high,0.07,0.025,high
73,434,2,2015,34781.21226099484,0.25,68,63378.452466645496,3,36,variable,high,0.07,0.025,high
74,144,2,2018,5176.032130042311,2.0,70,61539.079804510904,9,13,variable,high,0.07,0.025,high
75,289,2,2018,12486.545303966297,2.0,60,81483.70784357942,6,23,variable,high,0.07,0.025,high
76,386,1,2024,35200.91740991101,5.25,59,54348.478024270844,7,6,fixed,low,0.03,0.01,low
77,14,2,2018,21311.193246751467,2.0,35,57454.83960195451,5,38,variable,high,0.07,0.025,high
78,257,1,2015,28848.425828011583,0.25,46,89329.114523148,4,5,fixed,low,0.03,0.01,low
79,346,2,2023,40512.469432694634,5.0,59,32617.26925301071,8,31,variable,high,0.07,0.025,high
80,698,2,2017,13061.955820981773,1.0,70,70984.30365000093,6,21,variable,high,0.07,0.025,high
81,345,3,2018,19006.85662207968,2.0,68,100236.51992885253,9,11,indexed,medium,0.05,0.015,medium
82,400,1,2019,17275.730990691285,2.5,52,60912.32858643088,1,33,fixed,low,0.03,0.01,low
83,207,3,2021,2000.0,0.25,64,46220.83177083009,7,27,indexed,medium,0.05,0.015,medium
84,858,2,2020,16896.03196244031,0.25,30,44417.6405927464,9,31,variable,high,0.07,0.025,high
85,943,1,2019,28810.621873806653,2.5,41,61426.48632248978,3,11,fixed,low,0.03,0.01,low
86,172,2,2022,25405.895418122407,3.0,29,47774.61201610364,4,28,variable,high,0.07,0.025,high
87,464,3,2015,26190.8316938801,0.25,36,66838.10042530941,1,30,indexed,medium,0.05,0.015,medium
88,270,1,2021,16244.910193605005,0.25,55,49567.82176291956,1,33,fixed,low,0.03,0.01,low
89,221,3,2020,13439.027639943586,0.25,59,81110.8920426395,2,38,indexed,medium,0.05,0.015,medium
90,152,2,2019,32692.556718986205,2.5,60,22804.408940581838,4,29,variable,high,0.07,0.025,high
91,623,2,2021,15026.828536423305,0.25,67,33696.64515143618,8,37,variable,high,0.07,0.025,high
92,183,2,2017,22940.82038793214,1.0,25,67210.30429888995,3,8,variable,high,0.07,0.025,high
93,399,1,2015,21633.346806775386,0.25,62,76429.08858506811,2,11,fixed,low,0.03,0.01,low
94,851,3,2023,34617.17016257119,5.0,66,40492.39529661325,2,18,indexed,medium,0.05,0.015,medium
95,72,3,2016,29714.1235767236,0.5,35,40144.696484963584,3,37,indexed,medium,0.05,0.015,medium
96,418,2,2024,7047.413793328791,5.25,70,55200.03564706886,2,25,variable,high,0.07,0.025,high
97,898,3,2017,8124.4683322495985,1.0,28,67881.43420226927,4,24,indexed,medium,0.05,0.015,medium
98,283,1,2022,25789.09818069134,3.0,66,70171.31754716639,9,10,fixed,low,0.03,0.01,low
99,74,2,2024,19356.623526208336,5.25,68,47507.9818646332,2,6,variable,high,0.07,0.025,high
100,355,2,2023,15448.28216046236,5.0,69,28221.05434167781,2,39,variable,high,0.07,0.025,high
101,727,2,2017,30156.27883994471,1.0,29,55319.28456086848,1,35,variable,high,0.07,0.025,high
102,497,1,2020,21874.59382088911,0.25,49,67466.48288995525,6,35,fixed,low,0.03,0.01,low
103,328,2,2021,20524.57386889444,0.25,54,48968.7838215198,9,9,variable,high,0.07,0.025,high
104,988,2,2015,27798.2864075505,0.25,66,77156.37683069572,4,37,variable,high,0.07,0.025,high
105,535,2,2021,16248.910050564355,0.25,25,51693.662357295536,3,34,variable,high,0.07,0.025,high
106,580,2,2018,35685.18985472554,2.0,41,73287.75068471255,4,37,variable,high,0.07,0.025,high
107,910,3,2019,12119.52376766992,2.5,66,40594.46432128325,6,20,indexed,medium,0.05,0.015,medium
108,447,2,2022,26569.29066342088,3.0,48,89065.64612504939,4,33,variable,high,0.07,0.025,high
109,373,1,2018,34338.32838659845,2.0,45,52143.95606961626,5,11,fixed,low,0.03,0.01,low
110,362,2,2018,6227.045107279002,2.0,67,21425.399545003085,9,13,variable,high,0.07,0.025,high
111,93,2,2022,16566.64824147551,3.0,72,58515.06668031279,2,24,variable,high,0.07,0.025,high
112,321,3,2019,31422.073928855578,2.5,53,46422.76413028451,6,29,indexed,medium,0.05,0.015,medium
113,324,2,2020,31572.44547731025,0.25,42,39317.2600188647,4,33,variable,high,0.07,0.025,high
114,384,3,2019,18285.04399611761,2.5,65,45205.663649948794,9,19,indexed,medium,0.05,0.015,medium
115,575,1,2015,12653.289063231405,0.25,71,94953.7492856597,8,38,fixed,low,0.03,0.01,low
116,736,3,2021,29559.358223307623,0.25,72,45453.83874459387,3,6,indexed,medium,0.05,0.015,medium
117,737,2,2020,31835.491025816045,0.25,35,93341.24872284352,2,30,variable,high,0.07,0.025,high
118,881,1,2016,8353.366514876052,0.5,43,87329.45684686718,6,27,fixed,low,0.03,0.01,low
119,346,2,2021,7960.863510336198,0.25,59,32617.26925301071,8,31,variable,high,0.07,0.025,high
120,849,3,2020,22252.566819835996,0.25,43,32572.66263635235,1,34,indexed,medium,0.05,0.015,medium
121,103,1,2019,26293.60633428892,2.5,71,80214.0432917222,7,27,fixed,low,0.03,0.01,low
122,215,1,2022,17009.309147699452,3.0,33,26702.15159742105,8,20,fixed,low,0.03,0.01,low
123,192,3,2019,26792.938199823493,2.5,49,32738.433102046125,3,5,indexed,medium,0.05,0.015,medium
124,672,3,2016,12898.63393162618,0.5,33,69017.1373297683,2,31,indexed,medium,0.05,0.015,medium
125,884,1,2020,2000.0,0.25,71,42142.907182445386,2,4,fixed,low,0.03,0.01,low
126,719,1,2015,15760.98927667404,0.25,67,67235.71524523477,5,23,fixed,low,0.03,0.01,low
127,781,3,2019,20632.32146513101,2.5,45,75308.98476864552,4,34,indexed,medium,0.05,0.015,medium
128,194,2,2020,17241.600401035434,0.25,42,43654.09078238715,7,28,variable,high,0.07,0.025,high
129,380,1,2021,8413.967363405149,0.25,62,63973.92368762806,1,6,fixed,low,0.03,0.01,low
130,403,3,2016,2000.0,0.5,61,47440.34827034724,5,37,indexed,medium,0.05,0.015,medium
131,664,2,2015,14859.111956321021,0.25,26,69249.30611605302,9,25,variable,high,0.07,0.025,high
132,749,1,2020,28976.55771649744,0.25,33,71601.97683270414,2,3,fixed,low,0.03,0.01,low
133,600,1,2017,32561.97439413682,1.0,46,77890.60434777034,8,27,fixed,low,0.03,0.01,low
134,11,3,2019,31877.13384138455,2.5,62,83891.26862368257,4,39,indexed,medium,0.05,0.015,medium
135,187,2,2016,11840.90464851447,0.5,66,55590.27691665177,7,25,variable,high,0.07,0.025,high
136,726,1,2015,8462.93676369636,0.25,43,52368.58216405953,8,32,fixed,low,0.03,0.01,low
137,15,2,2015,24966.346149798956,0.25,56,51592.82557094024,7,4,variable,high,0.07,0.025,high
138,778,2,2018,26351.000115979252,2.0,35,65908.59623443564,8,21,variable,high,0.07,0.025,high
139,297,1,2024,24001.696052004976,5.25,74,47670.95309397906,6,37,fixed,low,0.03,0.01,low
140,411,2,2016,2000.0,0.5,56,52810.22419592761,7,17,variable,high,0.07,0.025,high
141,956,1,2015,11331.154151165334,0.25,28,57045.559098338475,4,34,fixed,low,0.03,0.01,low
142,585,2,2020,19703.112097140216,0.25,69,67000.22395870349,8,3,variable,high,0.07,0.025,high
143,52,1,2018,24872.18194630427,2.0,67,83898.44269729992,5,19,fixed,low,0.03,0.01,low
144,640,3,2024,27673.073626024867,5.25,67,53698.06533935781,2,4,indexed,medium,0.05,0.015,medium
145,28,1,2021,21442.5352228204,0.25,65,82039.13394794849,4,23,fixed,low,0.03,0.01,low
146,577,1,2020,23307.83806538236,0.25,41,55129.47221629466,9,11,fixed,low,0.03,0.01,low
147,17,1,2019,20848.65458361104,2.5,42,67708.65143482524,5,25,fixed,low,0.03,0.01,low
148,351,2,2024,26856.19374218483,5.25,56,78319.7071189159,5,39,variable,high,0.07,0.025,high
149,428,3,2016,23128.65651490911,0.5,32,48635.89261207181,3,25,indexed,medium,0.05,0.015,medium
150,650,2,2019,20657.376600472875,2.5,72,68587.00470844944,2,28,variable,high,0.07,0.025,high
151,831,2,2023,17316.31200862619,5.0,53,40997.28494232986,6,10,variable,high,0.07,0.025,high
152,229,1,2023,20812.914250424812,5.0,64,20000.0,3,15,fixed,low,0.03,0.01,low
153,766,2,2016,24845.913788392747,0.5,38,30302.242035122254,6,1,variable,high,0.07,0.025,high
154,989,1,2021,22674.753888980613,0.25,71,84658.42190094493,2,3,fixed,low,0.03,0.01,low
155,210,3,2024,23808.26418345254,5.25,51,84644.27912679539,2,12,indexed,medium,0.05,0.015,medium
156,431,2,2018,33427.21861351185,2.0,74,72624.34400990387,9,20,variable,high,0.07,0.025,high
157,294,2,2017,22651.639227465872,1.0,41,70397.26879599625,3,6,variable,high,0.07,0.025,high
158,743,2,2015,13510.014795268424,0.25,47,38267.49646092586,5,2,variable,high,0.07,0.025,high
159,753,1,2017,28836.06785994169,1.0,71,70942.83350120953,9,12,fixed,low,0.03,0.01,low
160,582,1,2023,6338.016623310825,5.0,41,43514.576453659814,9,39,fixed,low,0.03,0.01,low
161,104,2,2023,9185.866192607129,5.0,55,74980.87889052078,7,28,variable,high,0.07,0.025,high
162,204,2,2021,23358.47264720069,0.25,41,59629.90793540674,7,22,variable,high,0.07,0.025,high
163,53,3,2017,25163.96667786579,1.0,39,49194.93993328465,1,30,indexed,medium,0.05,0.015,medium
164,974,3,2017,7549.487764960049,1.0,40,42144.60948285661,8,1,indexed,medium,0.05,0.015,medium
165,940,3,2018,16171.8251901325,2.0,74,68403.06587972572,9,7,indexed,medium,0.05,0.015,medium
166,375,3,2021,13939.161677803413,0.25,64,73980.40617167791,7,6,indexed,medium,0.05,0.015,medium
167,842,3,2021,15133.236771184032,0.25,61,93419.83430577221,8,2,indexed,medium,0.05,0.015,medium
168,54,1,2016,29435.97776272946,0.5,36,33083.36430915156,1,22,fixed,low,0.03,0.01,low
169,276,3,2019,27065.054635472527,2.5,45,101553.54265838888,6,25,indexed,medium,0.05,0.015,medium
170,335,3,2021,19808.778201462927,0.25,33,83537.12487237161,7,23,indexed,medium,0.05,0.015,medium
171,31,2,2021,14540.380728850721,0.25,43,55306.81324906874,4,7,variable,high,0.07,0.025,high
172,135,1,2020,6503.503297798594,0.25,27,47009.63578192337,3,39,fixed,low,0.03,0.01,low
173,58,3,2024,34201.849387819486,5.25,62,66557.22281501551,2,11,indexed,medium,0.05,0.015,medium
174,105,3,2024,25921.139002849184,5.25,32,69240.2661985857,7,34,indexed,medium,0.05,0.015,medium
175,266,3,2022,12933.308959268596,3.0,34,74897.92836894195,6,39,indexed,medium,0.05,0.015,medium
176,522,2,2017,27195.994976248916,1.0,73,60695.51937586881,6,3,variable,high,0.07,0.025,high
177,496,2,2015,19297.763794253744,0.25,70,78011.55636386434,9,6,variable,high,0.07,0.025,high
178,253,2,2017,17128.90495137657,1.0,27,53470.92221898633,9,12,variable,high,0.07,0.025,high
179,295,3,2016,24352.115282896026,0.5,48,74866.2425908584,5,34,indexed,medium,0.05,0.015,medium
180,668,2,2016,12585.01750087275,0.5,48,25000.229023526692,9,9,variable,high,0.07,0.025,high
181,158,3,2016,16562.434804898898,0.5,46,80387.7195392042,3,7,indexed,medium,0.05,0.015,medium
182,549,1,2019,21214.61064199546,2.5,63,85372.42049206416,2,23,fixed,low,0.03,0.01,low
183,631,3,2015,15005.488071147865,0.25,60,31422.855269116182,6,33,indexed,medium,0.05,0.015,medium
184,67,2,2024,26690.85210267524,5.25,73,40275.51027434961,2,29,variable,high,0.07,0.025,high
185,754,1,2018,38690.66503678261,2.0,29,42832.892917611534,3,10,fixed,low,0.03,0.01,low
186,299,3,2024,12457.018673928573,5.25,69,49265.53779833943,5,12,indexed,medium,0.05,0.015,medium
187,463,1,2019,3348.7470369595576,2.5,59,79174.38856647996,9,3,fixed,low,0.03,0.01,low
188,725,1,2016,2000.0,0.5,65,69152.44207466567,2,28,fixed,low,0.03,0.01,low
189,820,1,2019,18495.318585050176,2.5,67,68255.65505647853,5,31,fixed,low,0.03,0.01,low
190,101,3,2024,13368.354098738171,5.25,66,37927.242575012046,9,8,indexed,medium,0.05,0.015,medium
191,56,2,2018,22078.605010670806,2.0,44,58751.76921728769,6,37,variable,high,0.07,0.025,high
192,332,3,2022,21325.97672026101,3.0,64,59694.14678077084,6,36,indexed,medium,0.05,0.015,medium
193,836,2,2015,3967.8315338590382,0.25,47,46110.342482755645,8,14,variable,high,0.07,0.025,high
194,751,3,2019,2000.0,2.5,34,46100.680174012705,6,22,indexed,medium,0.05,0.015,medium
195,393,3,2024,22959.332403460954,5.25,43,43709.9157847678,4,33,indexed,medium,0.05,0.015,medium
196,743,3,2015,21354.28834719957,0.25,47,38267.49646092586,5,2,indexed,medium,0.05,0.015,medium
197,874,2,2024,15741.820016334488,5.25,53,79886.72159755857,6,35,variable,high,0.07,0.025,high
198,381,3,2024,3428.5641486769528,5.25,61,84255.68778260837,1,29,indexed,medium,0.05,0.015,medium
199,92,1,2018,24713.91262764991,2.0,71,59104.79384775653,5,3,fixed,low,0.03,0.01,low
200,791,3,2022,32718.995454239433,3.0,40,48639.51133414818,2,39,indexed,medium,0.05,0.015,medium
201,447,1,2015,22779.824402189224,0.25,48,89065.64612504939,4,33,fixed,low,0.03,0.01,low
202,109,2,2016,11525.261094349355,0.5,70,49700.81481358619,6,33,variable,high,0.07,0.025,high
203,317,2,2015,20445.521655711513,0.25,63,76724.45873643059,6,24,variable,high,0.07,0.025,high
204,168,3,2021,6338.85919066315,0.25,35,46949.81719158552,3,2,indexed,medium,0.05,0.015,medium
205,812,3,2016,30579.607138387924,0.5,39,43152.58388545313,9,2,indexed,medium,0.05,0.015,medium
206,982,3,2015,20818.44334529539,0.25,34,62357.173044950956,7,15,indexed,medium,0.05,0.015,medium
207,920,1,2020,2318.430882467681,0.25,34,70750.3476604023,6,17,fixed,low,0.03,0.01,low
208,435,2,2020,16993.256395563174,0.25,51,64608.77775421007,1,17,variable,high,0.07,0.025,high
209,442,1,2024,24633.01510234231,5.25,38,79567.39875539544,5,8,fixed,low,0.03,0.01,low
210,218,1,2016,16669.523790244777,0.5,62,71500.66070218036,4,16,fixed,low,0.03,0.01,low
211,222,3,2015,17241.04278559826,0.25,72,115014.4606107466,5,38,indexed,medium,0.05,0.015,medium
212,673,3,2024,7755.977929527282,5.25,63,26724.93609936016,9,34,indexed,medium,0.05,0.015,medium
213,528,1,2017,25665.409870816562,1.0,69,69621.06582250964,3,7,fixed,low,0.03,0.01,low
214,278,1,2024,13515.307999808625,5.25,63,90709.36899869048,3,38,fixed,low,0.03,0.01,low
215,569,3,2019,2000.0,2.5,46,92840.48430089891,4,24,indexed,medium,0.05,0.015,medium
216,574,3,2020,16287.426293296063,0.25,32,80376.24159401888,2,16,indexed,medium,0.05,0.015,medium
217,875,1,2017,29811.49715570353,1.0,60,20000.0,7,11,fixed,low,0.03,0.01,low
218,466,3,2023,16130.705534000526,5.0,68,62617.86975887592,2,14,indexed,medium,0.05,0.015,medium
219,839,3,2019,37379.8498512352,2.5,34,67224.43192801761,4,17,indexed,medium,0.05,0.015,medium
220,754,1,2016,24289.67948548517,0.5,29,42832.892917611534,3,10,fixed,low,0.03,0.01,low
221,602,1,2024,23387.58162280366,5.25,47,73642.71933491163,5,22,fixed,low,0.03,0.01,low
222,584,2,2020,18716.01734082391,0.25,38,69014.77580087094,5,29,variable,high,0.07,0.025,high
223,838,1,2022,19317.137922357095,3.0,38,60735.1645309886,2,12,fixed,low,0.03,0.01,low
224,30,3,2020,17365.76364880496,0.25,46,70142.68979090537,9,23,indexed,medium,0.05,0.015,medium
225,359,1,2018,16977.306079174734,2.0,51,39406.675434411125,1,2,fixed,low,0.03,0.01,low
226,919,1,2020,25308.67162067149,0.25,26,29299.6247466825,2,2,fixed,low,0.03,0.01,low
227,288,1,2022,10641.687702094345,3.0,41,38097.87896128798,4,36,fixed,low,0.03,0.01,low
228,86,2,2022,9241.061712757404,3.0,40,63910.18300314913,4,23,variable,high,0.07,0.025,high
229,234,2,2024,8768.049491246224,5.25,61,69985.20062765597,6,25,variable,high,0.07,0.025,high
230,747,3,2016,40456.54547677154,0.5,73,61417.8130564413,2,36,indexed,medium,0.05,0.015,medium
231,313,2,2022,25303.4290167058,3.0,26,63264.205100547086,8,1,variable,high,0.07,0.025,high
232,365,1,2020,23044.922016801447,0.25,35,63555.6970765792,6,21,fixed,low,0.03,0.01,low
233,777,2,2016,9424.853297065685,0.5,59,52967.49664278152,1,20,variable,high,0.07,0.025,high
234,799,1,2015,26233.423006748286,0.25,67,53560.1494541281,2,25,fixed,low,0.03,0.01,low
235,839,2,2020,18834.286535466712,0.25,34,67224.43192801761,4,17,variable,high,0.07,0.025,high
236,905,2,2021,22141.6894113175,0.25,66,52384.11137721581,4,22,variable,high,0.07,0.025,high
237,269,2,2024,10233.79684136444,5.25,73,70611.33209075469,2,11,variable,high,0.07,0.025,high
238,698,1,2019,21602.68857417577,2.5,70,70984.30365000093,6,21,fixed,low,0.03,0.01,low
239,131,2,2024,15761.664617935168,5.25,56,20000.0,6,25,variable,high,0.07,0.025,high
240,803,1,2022,12343.888429698123,3.0,66,59469.695025420835,4,22,fixed,low,0.03,0.01,low
241,993,1,2023,27341.063358072486,5.0,46,43506.002792864165,6,2,fixed,low,0.03,0.01,low
242,789,3,2018,4622.921914699975,2.0,42,36324.480983629444,2,4,indexed,medium,0.05,0.015,medium
243,832,2,2021,25647.762643141505,0.25,71,56026.29774102075,1,4,variable,high,0.07,0.025,high
244,351,3,2022,26844.86133552996,3.0,56,78319.7071189159,5,39,indexed,medium,0.05,0.015,medium
245,180,3,2020,11203.563244487594,0.25,72,50215.21534001811,9,37,indexed,medium,0.05,0.015,medium
246,802,1,2016,11796.715388675326,0.5,72,82395.80701480375,7,26,fixed,low,0.03,0.01,low
247,480,2,2021,17769.74318733598,0.25,25,53020.358978633296,7,24,variable,high,0.07,0.025,high
248,889,1,2023,22820.362104622207,5.0,28,44719.084368123134,8,12,fixed,low,0.03,0.01,low
249,163,1,2019,18471.450081857743,2.5,48,53426.75969675408,4,13,fixed,low,0.03,0.01,low
250,783,2,2016,24335.624601918793,0.5,69,51762.90977910465,4,30,variable,high,0.07,0.025,high
251,888,1,2018,37629.79652537399,2.0,56,64030.88003598843,3,4,fixed,low,0.03,0.01,low
252,96,2,2017,14922.83230850286,1.0,48,75129.97855680312,2,11,variable,high,0.07,0.025,high
253,774,2,2018,2848.200292965794,2.0,72,20000.0,8,38,variable,high,0.07,0.025,high
254,510,1,2024,28259.235830306534,5.25,42,52435.43795268854,4,13,fixed,low,0.03,0.01,low
255,365,1,2021,36833.1457592753,0.25,35,63555.6970765792,6,21,fixed,low,0.03,0.01,low
256,981,3,2024,23927.683630511245,5.25,56,79455.48793250033,8,29,indexed,medium,0.05,0.015,medium
257,353,1,2022,9122.513246463319,3.0,36,72194.67135699664,4,11,fixed,low,0.03,0.01,low
258,800,2,2015,18761.07636764799,0.25,71,49845.53773393718,1,11,variable,high,0.07,0.025,high
259,436,3,2022,8814.765157883678,3.0,33,46879.16520382047,5,21,indexed,medium,0.05,0.015,medium
260,83,2,2019,26428.554939629477,2.5,54,65602.20522093169,4,8,variable,high,0.07,0.025,high
261,225,3,2021,6487.0959730156555,0.25,63,20000.0,6,26,indexed,medium,0.05,0.015,medium
262,412,1,2015,16998.712131718,0.25,41,110075.92454537548,7,29,fixed,low,0.03,0.01,low
263,735,1,2016,9956.621737060936,0.5,46,51359.12470051731,9,5,fixed,low,0.03,0.01,low
264,981,1,2015,21268.24685134962,0.25,56,79455.48793250033,8,29,fixed,low,0.03,0.01,low
265,118,2,2019,16336.583228622423,2.5,43,64991.691235783386,6,5,variable,high,0.07,0.025,high
266,482,3,2020,21767.621032502637,0.25,26,68063.82421521044,3,23,indexed,medium,0.05,0.015,medium
267,192,2,2024,20223.505549663656,5.25,49,32738.433102046125,3,5,variable,high,0.07,0.025,high
268,591,3,2023,10133.409722758895,5.0,32,20000.0,7,32,indexed,medium,0.05,0.015,medium
269,590,1,2022,26268.770635290217,3.0,71,63223.32338940089,2,32,fixed,low,0.03,0.01,low
270,659,2,2021,19512.343481568845,0.25,69,99066.06511491982,1,5,variable,high,0.07,0.025,high
271,107,1,2019,10114.709921340995,2.5,55,94546.07850123916,6,15,fixed,low,0.03,0.01,low
